MESEN
PC: 51102  OP: 120   A: 0 X: 0  Y: 0 SP: 253  N: 0  Z: 0  C: 0
PC: 51103  OP: 216   A: 0 X: 0  Y: 0 SP: 253  N: 0  Z: 0  C: 0
PC: 51104  OP: 169   A: 0 X: 0  Y: 0 SP: 253  N: 0  Z: 0  C: 0
PC: 51106  OP: 141 $8192 = 0  A: 16 X: 0  Y: 0 SP: 253  N: 0  Z: 0  C: 0
PC: 51109  OP: 162   A: 16 X: 0  Y: 0 SP: 253  N: 0  Z: 0  C: 0
PC: 51111  OP: 154   A: 16 X: 255  Y: 0 SP: 253  N: 1  Z: 0  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 16 X: 255  Y: 0 SP: 255  N: 1  Z: 0  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
PC: 51117  OP: 240   A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51112  OP: 173 $8194 = 16  A: 0 X: 255  Y: 0 SP: 255  N: 0  Z: 1  C: 0
PC: 51115  OP: 41   A: 16 X: 255  Y: 0 SP: 255  N: 0  Z: 0  C: 0
